"GXP/GIP","Bus","Name","Voltage","Number","Creation date","Easting","Northing","Lat","Long","Island","TLA","Transmission region","A nearby population center or terrain feature","Main lines company","Code","# active ICPs as of Jan 2010","and by retailer: Meridian Energy","Genesis Power","Contact Energy","Mighty River Power","Trustpower","Other","Main retailer as of 2010 (by ICPs)","Mean offtake over 2005-09 (MW)","Max offtake over 2005-09 (MW)","Load factor","Mean offtake in winter - peak periods (MW)","Mean offtake in winter - offpeak day periods (MW)","Mean offtake in winter - offpeak night periods (MW)","Mean offtake in summer - peak periods (MW)","Mean offtake in summer - offpeak day periods (MW)","Mean offtake in summer - offpeak night periods (MW)","Highest load in…","Daily demand trace over 2007-09","168-hour demand profile over 2007-09","Embedded generators over 1 MW","Direct connect customers","From distributor survey                                      : major individual loads",": comments on other loads",": CBD (%)",": residential (%)",": commercial / industrial (%)",": agricultural (%)"
"CPK0111","CPK","Central Park",11,"1","earlier",1748141,5426366,-41.301,174.769,"N","Wellington City","Wellington","Central Park, Wellington","Wellington Electricity Lines Limited","CKHK",8036,942,4180,1599,447,168,700,"Genesis Power",9,24,36%,12,12,7,10,10,6,"Winter peak","Plot for CPK0111","Plot for CPK0111",,,,,,,,
"CPK0331","CPK","Central Park",33,"1","earlier",1748141,5426366,-41.301,174.769,"N","Wellington City","Wellington","Central Park, Wellington","Wellington Electricity Lines Limited","CKHK",39709,4250,19535,8270,2564,666,4424,"Genesis Power",75,165,46%,104,92,69,79,78,55,"Winter peak","Plot for CPK0331","Plot for CPK0331","Southern Landfill",,,,,,,
"CST0331","CST","Carrington St",33,"1","earlier",1694032,5673652,-39.081,174.087,"N","New Plymouth District","Taranaki","New Plymouth","Powerco Ltd","POCO",18703,637,11814,1826,3292,651,483,"Genesis Power",25,56,44%,32,31,22,26,28,19,"Winter peak","Plot for CST0331","Plot for CST0331","Mangorei",," ","New Plymouth city",24%,37%,34%,5%
"CUL0331","CUL","Culverden",33,"1","earlier",1589865,5270424,-42.719,172.876,"S","Hurunui District","Canterbury","Culverden","MainPower NZ Ltd","MPOW",2978,325,70,2504,33,46,0,"Contact Energy",6,16,37%,5,4,4,8,8,7,"Summer peak","Plot for CUL0331","Plot for CUL0331",,," ","Dairy, irrigation",0%,25%,5%,70%
"CYD0331","CYD","Clyde",33,"1","earlier",1309790,4990373,-45.180,169.306,"S","Central Otago District","Otago Southland","Clyde Dam","Aurora Energy Ltd","DUNE",6617,693,55,1218,14,4532,105,"Trustpower",1,9,9%,1,1,0,1,1,1,"Winter peak","Plot for CYD0331","Plot for CYD0331","Fraser","Contact Energy (Clyde)"," ","Orchards, agriculture, frostfighting",0%,35%,15%,50%
"DAR0111","DAR","Dargaville",11,"1","earlier",1679284,6023142,-35.933,173.879,"N","Kaipara District","North Isthmus","Dargaville","Northpower Ltd","NPOW",5843,2637,870,839,1427,69,1,"Meridian Energy Ltd",7,12,57%,9,8,6,8,7,6,"Winter peak","Plot for DAR0111","Plot for DAR0111",,," ","Dairy",0%,50%,0%,50%
"DOB0331","DOB","Dobson",33,"1","earlier",1460288,5298504,-42.453,171.301,"S","Grey District","West Coast","Dobson (east of Greymouth)","Westpower Ltd","WPOW",2564,143,22,240,15,2144,0,"Trustpower",4,13,33%,5,5,4,5,5,4,"Winter peak","Plot for DOB0331","Plot for DOB0331","Arnold",,"Coal mine"," ",0%,30%,40%,30%
"DVK0111","DVK","Dannevirke",11,"1","earlier",1858018,5546717,-40.190,176.031,"N","Tararua District","Central","Dannevirke","Scanpower Ltd","SCAN",5438,3569,924,884,13,48,0,"Meridian Energy Ltd",9,15,60%,11,10,8,11,10,8,"Winter peak","Plot for DVK0111","Plot for DVK0111",,," Alliance, Godfrey Hurst, Kiwi Lumber","Dairy",10%,50%,25%,15%
"EDG0331","EDG","Edgecumbe",33,"1","earlier",1936334,5788732,-37.987,176.829,"N","Whakatane District","BOP","Edgecumbe, near Whakatane","Horizon Energy Distribution Limited","HEDL",16029,69,489,245,355,110,14761,,31,60,52%,39,33,29,34,32,27,"Winter peak","Plot for EDG0331","Plot for EDG0331","Bay Milk Edgecumbe",,"CHH Whakatane"," ",0%,"some","little","some"
"EDN0331","EDN","Edendale",33,"1","earlier",1274952,4862684,-46.311,168.778,"S","Southland District","Otago Southland","Edendale (south of Gore)","The Power Company Ltd","TPCO",1705,173,124,1277,56,75,0,"Contact Energy",11,26,42%,9,8,8,15,14,14,"Summer peak","Plot for EDN0331","Plot for EDN0331","Fonterra cogen (4 MW)",,"Fonterra","Dairy",0%,5%,0%,95%
"FHL0331","FHL","Fernhill",33,"1","earlier",1923083,5609948,-39.599,176.763,"N","Hastings District","Hawkes Bay","Hastings","Unison Network Ltd","HAWK",15089,272,6067,8309,53,388,0,"Contact Energy",28,58,48%,37,32,25,31,29,23,"Winter peak","Plot for FHL0331","Plot for FHL0331",,,,,,,,
"FKN0331","FKN","Frankton",33,"1","earlier",1264310,5007063,-45.010,168.740,"S","Queenstown-Lakes District","Otago Southland","Queenstown","Aurora Energy Ltd","DUNE",11454,980,234,3838,32,6292,78,"Trustpower",22,48,46%,33,29,25,21,19,15,"Winter peak","Plot for FKN0331","Plot for FKN0331","Wye Creek",," ","Tourism, skifields",0%,65%,30%,5%
"GFD0331","GFD","Gracefield",33,"1","earlier",1760611,5432763,-41.241,174.917,"N","Lower Hutt City","Wellington","Gracefield, Petone","Wellington Electricity Lines Limited","CKHK",15299,1013,10485,1880,1452,275,194,"Genesis Power",30,55,55%,41,37,28,31,31,22,"Winter peak","Plot for GFD0331","Plot for GFD0331",,,,,,,,
"GIS0501","GIS","Gisborne",50,"1","earlier",2037508,5710718,-38.644,178.026,"N","Gisborne District","Hawkes Bay","Gisborne","Eastland Network Ltd","EAST",20543,472,2457,15505,1060,1048,1,"Contact Energy",28,45,62%,36,32,24,31,30,23,"Winter peak","Plot for GIS0501","Plot for GIS0501","Gisborne",," ","Wood processing",0%,48%,"some","some"
"GLN0331","GLN","Glenbrook",33,"1","earlier",1753640,5881201,-37.203,174.731,"N","Franklin District","Auckland","Waiuku (west of Pukekohe)",,,0,0,0,0,0,0,0,,79,110,72%,77,76,79,80,78,82,"Summer night","Plot for GLN0331","Plot for GLN0331",,"NZ Steel",," ",0%,0%,100%,0%
"GLN0332","GLN","Glenbrook",33,"2","earlier",1753640,5881201,-37.203,174.731,"N","Franklin District","Auckland","Waiuku (west of Pukekohe)","Counties Power Ltd","COUP",10404,103,2361,5440,2377,113,10,"Contact Energy",-8,64,-13%,-2,-6,-8,-7,-10,-11,"Winter peak","Plot for GLN0332","Plot for GLN0332","Glenbrook",," "," ",0%,50%,40%,10%
"GOR0331","GOR","Gore",33,"1","earlier",1284081,4885052,-46.115,168.911,"S","Gore District","Otago Southland","Gore","The Power Company Ltd","TPCO",9445,858,147,7584,85,770,1,"Contact Energy",18,31,57%,22,19,16,19,19,14,"Winter peak","Plot for GOR0331","Plot for GOR0331","Blue Mountain Lumber",,"Mataura freezing works","Dairy",5%,75%,10%,10%
"GYM0661","GYM","Greymouth",66,"1","earlier",1453160,5298172,-42.455,171.214,"S","Grey District","West Coast","Greymouth","Westpower Ltd","WPOW",4202,179,42,472,18,3491,0,"Trustpower",6,13,47%,8,8,6,7,6,5,"Winter peak","Plot for GYM0661","Plot for GYM0661",,," "," ",15%,80%,5%,0%
"GYT0331","GYT","Greytown",33,"1","earlier",1804620,5445255,-41.118,175.437,"N","South Wairarapa District","Wellington","Greytown","Powerco Ltd","POCO",6374,406,4393,1430,31,70,44,"Genesis Power",5,12,41%,6,4,4,6,5,4,"Winter peak","Plot for GYT0331","Plot for GYT0331","Hau Nui",,,"Irrigation",12%,25%,9%,54%
"HAM0111","HAM","Hamilton",11,"1","earlier",1802954,5816177,-37.779,175.305,"N","Waikato District","Waikato","Hamilton","WEL Networks","WAIK",13804,392,10914,713,1586,176,23,"Genesis Power",16,41,40%,24,19,16,17,16,12,"Winter peak","Plot for HAM0111","Plot for HAM0111",,," "," ",30%,30%,40%,0%
"HAM0331","HAM","Hamilton",33,"1","earlier",1802954,5816177,-37.779,175.305,"N","Waikato District","Waikato","Hamilton","WEL Networks","WAIK",44301,1233,35516,2016,4813,631,92,"Genesis Power",69,146,47%,95,84,61,76,76,51,"Winter peak","Plot for HAM0331","Plot for HAM0331",,," "," ",30%,30%,40%,0%
"HAM0551","HAM","Hamilton",55,"1","earlier",1802954,5816177,-37.779,175.305,"N","Waikato District","Waikato","Hamilton",,,0,0,0,0,0,0,0,,1,8,14%,1,1,1,1,1,1,"Summer night","Plot for HAM0551","Plot for HAM0551",,"Ontrack",,,,,,
"HAY0111","HAY","Haywards",11,"1","earlier",1766247,5442707,-41.150,174.981,"N","Lower Hutt City","Wellington","Silverstream","Wellington Electricity Lines Limited","CKHK",6495,387,4421,771,501,94,321,"Genesis Power",8,21,39%,12,9,8,8,7,6,"Winter peak","Plot for HAY0111","Plot for HAY0111",,,,,,,,
"HAY0331","HAY","Haywards",33,"1","earlier",1766247,5442707,-41.150,174.981,"N","Lower Hutt City","Wellington","Silverstream","Wellington Electricity Lines Limited","CKHK",4997,349,3421,541,444,70,172,"Genesis Power",6,19,30%,9,7,6,6,5,4,"Winter peak","Plot for HAY0331","Plot for HAY0331","Silverstream",,,,,,,
"HEN0331","HEN","Henderson",33,"1","earlier",1744225,5921479,-36.842,174.618,"N","Waitakere City","North Isthmus","Henderson, Auckland","United Networks Ltd","UNET",38127,634,15308,7303,14380,245,257,"Genesis Power",49,112,44%,71,56,45,53,49,37,"Winter peak","Plot for HEN0331","Plot for HEN0331",,,,,,,,
"HEP0331","HEP","Hepburn Rd",33,"1","earlier",1747953,5916477,-36.886,174.660,"N","Waitakere City","North Isthmus","Glendene, Auckland","United Networks Ltd","UNET",47446,882,16101,8549,21319,214,381,"Mighty River Power Limited",45,138,32%,64,55,40,47,47,32,"Winter peak","Plot for HEP0331","Plot for HEP0331",,,,,,,,
"HIN0331","HIN","Hinuera",33,"1","earlier",1843084,5799482,-37.920,175.765,"N","South Waikato District","Waikato","South of Matamata","Powerco Ltd","POCO",10909,382,6741,1349,1897,299,241,"Genesis Power",22,41,53%,27,23,18,26,24,19,"Winter peak","Plot for HIN0331","Plot for HIN0331",,,"Fonterra Tirau"," ",1%,20%,46%,33%
"HKK0661","HKK","Hokitika",66,"1",24/07/2002,1434859,5267773,-42.725,170.983,"S","Westland District","West Coast","Hokitika","Westpower Ltd","WPOW",4099,182,44,394,23,3456,0,"Trustpower",7,16,44%,7,6,5,9,9,8,"Summer peak","Plot for HKK0661","Plot for HKK0661","McKays Creek",,"Milk powder factory"," ",5%,25%,50%,20%
"HLY0331","HLY","Huntly",33,"1",10/10/2008,1790104,5842871,-37.542,175.152,"N","Waikato District","Waikato","Huntly","WEL Networks","WAIK",5745,90,4906,273,399,73,4,"Genesis Power",7,18,39%,9,8,6,8,8,6,"Winter peak","Plot for HLY0331","Plot for HLY0331",,,,,,,,
"HOR0331","HOR","Hororata",33,"1","earlier",1517692,5178087,-43.546,171.981,"S","Selwyn District","Canterbury","Darfield","Orion New Zealand Limited","ORON",3795,2365,179,951,104,171,25,"Meridian Energy Ltd",9,23,41%,7,6,6,13,13,12,"Summer peak","Plot for HOR0331","Plot for HOR0331",,," ","Irrigation",0%,"some","little","most"
"HOR0661","HOR","Hororata",66,"1",1/09/2001,1517692,5178087,-43.546,171.981,"S","Selwyn District","Canterbury","Darfield","Orion New Zealand Limited","ORON",722,525,23,103,5,64,2,"Meridian Energy Ltd",8,28,30%,4,4,3,13,13,13,"Summer peak","Plot for HOR0661","Plot for HOR0661",,," ","Irrigation",0%,"some","little","most"
"HTI0331","HTI","Hangatiki",33,"1","earlier",1790554,5764047,-38.251,175.178,"N","Waitomo District","Waikato","Te Kuiti","The Lines Company","LINE",11041,181,1881,4,153,0,8822,,15,30,49%,18,16,12,18,17,13,"Winter peak","Plot for HTI0331","Plot for HTI0331","Mangapehi",,"Industrial meat processing, iron sands mining/ship loading, limestone processing","Dairy,  timber",0%,30%,50%,20%
"HUI0331","HUI","Huirangi",33,"1","earlier",1707051,5677680,-39.043,174.237,"N","New Plymouth District","Taranaki","East of New Plymouth","Powerco Ltd","POCO",6708,188,4221,604,1314,274,107,"Genesis Power",7,28,25%,8,7,6,8,8,7,"Summer peak","Plot for HUI0331","Plot for HUI0331","Mangahewa",," "," ",5%,34%,51%,10%
"HWA0331","HWA","Hawera",33,"1","earlier",1712534,5619539,-39.566,174.310,"N","South Taranaki District","Taranaki","Hawera","Powerco Ltd","POCO",9086,289,6470,963,827,454,83,"Genesis Power",19,29,67%,22,20,17,21,20,18,"Winter peak","Plot for HWA0331","Plot for HWA0331",,," "," ",2%,27%,36%,35%
"HWA1101","HWA","Hawera",110,"1","earlier",1712534,5619539,-39.566,174.310,"N","South Taranaki District","Taranaki","Hawera",,,0,0,0,0,0,0,0,,0,2,0%,0,0,0,0,0,0,"Summer daytime","Plot for HWA1101","Plot for HWA1101",,,,,,,,
"HWA1102","HWA","Hawera",110,"2","earlier",1712534,5619539,-39.566,174.310,"N","South Taranaki District","Taranaki","Hawera",,,0,0,0,0,0,0,0,,0,6,0%,0,0,0,0,0,0,"Winter daytime","Plot for HWA1102","Plot for HWA1102","Patearoa",,,,,,,
"HWB0331","HWB","Halfway Bush",33,"1","earlier",1404006,4918940,-45.855,170.475,"S","Dunedin City","Otago Southland","Halfway Bush, Dunedin","Aurora Energy Ltd","DUNE",25372,2891,241,12147,3881,5901,311,"Contact Energy",36,101,35%,47,40,35,37,34,29,"Winter peak","Plot for HWB0331","Plot for HWB0331","Waipori",," ","Includes part of Dunedin CBD",30%,40%,25%,5%
"HWB0332","HWB","Halfway Bush",33,"2",10/05/2002,1404006,4918940,-45.855,170.475,"S","Dunedin City","Otago Southland","Halfway Bush, Dunedin","Aurora Energy Ltd","DUNE",11240,1247,101,5390,1781,2559,162,"Contact Energy",24,97,25%,36,33,23,24,24,16,"Winter peak","Plot for HWB0332","Plot for HWB0332","Waipori",," ","Includes part of Dunedin CBD","some","most",0%,0%
"INV0331","INV","Invercargill",33,"1","earlier",1245826,4852015,-46.393,168.393,"S","Invercargill City","Otago Southland","Invercargill","Electricity Invercargill Ltd","ELIN",26361,1735,498,20417,153,3558,0,"Contact Energy",25,65,39%,33,30,25,25,25,19,"Winter peak","Plot for INV0331","Plot for INV0331",,,,,,,,
"ISL0331","ISL","Islington",33,"1","earlier",1560557,5179492,-43.536,172.512,"S","Christchurch City","Canterbury","Islington, Christchurch","Orion New Zealand Limited","ORON",11143,6303,125,3120,932,348,315,"Meridian Energy Ltd",45,84,54%,54,54,42,46,50,37,"Winter peak","Plot for ISL0331","Plot for ISL0331","5.5 MW of assorted embedded gen",,,,,,,
"ISL0661","ISL","Islington",66,"1","earlier",1560557,5179492,-43.536,172.512,"S","Christchurch City","Canterbury","Islington, Christchurch","Orion New Zealand Limited","ORON",26711,15443,267,7130,2676,411,784,"Meridian Energy Ltd",39,120,33%,53,39,51,33,29,30,"Winter peak","Plot for ISL0661","Plot for ISL0661",,," "," ",0%,"most","some",0%
"KAI0111","KAI","Kaiapoi",11,"1","earlier",1570673,5196749,-43.382,172.638,"S","Waimakariri District","Canterbury","Kaiapoi","MainPower NZ Ltd","MPOW",6971,792,85,5877,88,129,0,"Contact Energy",11,21,55%,16,12,12,12,10,9,"Winter peak","Plot for KAI0111","Plot for KAI0111",,," "," ",0%,50%,35%,15%
"KAW0111","KAW","Kawerau",11,"1","earlier",1926537,5779107,-38.077,176.722,"N","Kawerau District","BOP","Kawerau, near Whakatane","Horizon Energy Distribution Limited","HEDL",2960,21,178,68,72,25,2596,,15,27,55%,16,15,14,16,16,14,"Winter peak","Plot for KAW0111","Plot for KAW0111","Kawerau - BOP, Kawerau - CHH, Kawerau - KA24",,"SCA Hygiene"," ",0%,"little","some","little"
"KAW0112","KAW","Kawerau",11,"2","earlier",1926537,5779107,-38.077,176.722,"N","Kawerau District","BOP","Kawerau, near Whakatane",,,0,0,0,0,0,0,0,,52,91,57%,49,50,54,50,49,54,"Summer night","Plot for KAW0112","Plot for KAW0112",,"Norske Skog",,,,,,
"KAW0113","KAW","Kawerau",11,"3","earlier",1926537,5779107,-38.077,176.722,"N","Kawerau District","BOP","Kawerau, near Whakatane",,,0,0,0,0,0,0,0,,68,90,75%,65,66,71,66,64,70,"Winter night","Plot for KAW0113","Plot for KAW0113",,"Norske Skog",,,,,,
"KEN0331","KEN","Kensington",33,"1","earlier",1718621,6048223,-35.703,174.311,"N","Whangarei District","North Isthmus","Whangarei","Northpower Ltd","NPOW",25993,10898,8031,2773,4122,163,6,"Meridian Energy Ltd",32,59,55%,42,35,27,38,35,28,"Winter peak","Plot for KEN0331","Plot for KEN0331",,,"Dairy factory"," ",20%,30%,30%,20%
"KIK0111","KIK","Kikiwa",11,"1","earlier",1589496,5386480,-41.673,172.874,"S","Tasman District","Nelson Marlborough","Not much","Network Tasman Ltd","TASM",1032,71,5,908,1,47,0,"Contact Energy",1,3,51%,2,1,1,2,2,1,"Summer peak","Plot for KIK0111","Plot for KIK0111",,,"Sawmill"," ",0%,30%,20%,50%
"KIN0111","KIN","Kinleith",11,"1","earlier",1852211,5760027,-38.272,175.883,"N","South Waikato District","Waikato","Tokoroa",,,0,0,0,0,0,0,0,,54,65,83%,53,52,53,54,54,55,"Summer night","Plot for KIN0111","Plot for KIN0111",,"Carter Holt Harvey",,,,,,
